,process_num,iso_level,anomaly,txn_proceeded,txn_succeeded,txn_correct,txn_retries,retry_time,avg_latency,50_percentile_latency,95_percentile_latency,99_percentile_latency
389,4,RR,PR,2,1,2,1,1,0.0648458485,0.0648458485,0.10280489515,0.10617903263000002
390,4,RR,PR,2,1,2,1,1,0.06576633999999999,0.06576633999999999,0.10396194849999998,0.10735711369999999
391,4,RR,PR,2,2,2,0,0,0.01282520899999999,0.01282520899999999,0.020994778999999988,0.021720962999999986
765,4,S,WS,2,2,2,0,0,0.0032886040000000005,0.0032886040000000005,0.0037545717999999894,0.0037959911599999884
764,4,S,WS,2,2,2,0,0,0.003390533000000001,0.003390533000000001,0.0038541301999999887,0.003895338839999988
229,4,RR,NR,2,1,2,1,1,0.05540339,0.05540339,0.10271824669999997,0.10692401173999998
551,4,RR,RS,2,2,2,0,0,0.0020202349999999952,0.0020202349999999952,0.0023421631999999983,0.0023707790399999985
550,4,RR,RS,2,2,2,0,0,0.0023887850000000044,0.0023887850000000044,0.0029117425999999973,0.0029582277199999966
120,4,S,LU,2,1,2,1,1,0.0639209205,0.0639209205,0.11228363235000001,0.11658254007
71,4,RR,LU,2,1,2,1,1,0.05937572399999999,0.05937572399999999,0.10448500919999998,0.10849472343999998
121,4,S,LU,2,1,2,1,1,0.05763839300000001,0.05763839300000001,0.1029484268,0.10697598536000001
122,4,S,LU,2,2,2,0,0,0.0038194985000000042,0.0038194985000000042,0.003885509450000006,0.0038913770900000063
70,4,RR,LU,2,1,2,1,1,0.059941323000000005,0.059941323000000005,0.1079312688,0.11219704175999999
654,4,RC,WS,2,2,2,0,0,0.006385427999999985,0.006385427999999985,0.008161170299999977,0.008319014059999977
655,4,RC,WS,2,2,2,0,0,0.007690093000000009,0.007690093000000009,0.008718219700000016,0.008809608740000016
72,4,RR,LU,2,0,2,2,2,0.111498951,0.111498951,0.11323455059999998,0.11338882611999998
123,4,S,LU,2,1,2,1,1,0.05579959200000001,0.05579959200000001,0.10275156060000001,0.10692506892000002
656,4,RC,WS,4,4,4,0,0,0.005945239250000005,0.004880019499999999,0.008749648300000008,0.00926855206000001
69,4,RR,LU,2,1,2,1,1,0.05628195200000001,0.05628195200000001,0.10393684850000003,0.10817283930000003
601,4,S,RS,2,2,2,0,0,0.0035513824999999916,0.0035513824999999916,0.0038358342499999988,0.0038611188499999994
